SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable
2019,Health Canada,Q13,Question 13. I have opportunities to provide input into decisions that affect my work.,thirty four percent voted for ,I frequently provide input into decisions affecting my work.,thirty nine percent voted for ,I occasionally provide input into decisions affecting my work.,twelve percent voted for ,I am unsure how often I can provide input into decisions.,nine percent voted for ,I rarely get opportunities to contribute to decisions.,five percent voted for ,I never get to provide input into decisions.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q13,Question 13. I have opportunities to provide input into decisions that affect my work.,twenty seven percent voted for ,I frequently provide input into decisions affecting my work.,thirty eight percent voted for ,I occasionally provide input into decisions affecting my work.,fourteen percent voted for ,I am unsure how often I can provide input into decisions.,twelve percent voted for ,I rarely get opportunities to contribute to decisions.,nine percent voted for ,I never get to provide input into decisions.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q13,Question 13. I have opportunities to provide input into decisions that affect my work.,thirty one percent voted for ,I frequently provide input into decisions affecting my work.,forty percent voted for ,I occasionally provide input into decisions affecting my work.,thirteen percent voted for ,I am unsure how often I can provide input into decisions.,ten percent voted for ,I rarely get opportunities to contribute to decisions.,five percent voted for ,I never get to provide input into decisions.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty nine percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty three percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fourteen percent voted for ,I am neutral about being encouraged to be innovative.,eight percent voted for ,I am rarely encouraged to be innovative.,six percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty nine percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty three percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fourteen percent voted for ,I am neutral about being encouraged to be innovative.,eight percent voted for ,I am rarely encouraged to be innovative.,five percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty seven percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty three percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fifteen percent voted for ,I am neutral about being encouraged to be innovative.,eight percent voted for ,I am rarely encouraged to be innovative.,six percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,forty one percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty five percent voted for ,I am sometimes encouraged to be innovative and take initiative.,thirteen percent voted for ,I am neutral about being encouraged to be innovative.,seven percent voted for ,I am rarely encouraged to be innovative.,four percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty four percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty three percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fifteen percent voted for ,I am neutral about being encouraged to be innovative.,nine percent voted for ,I am rarely encouraged to be innovative.,seven percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty seven percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty five percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fifteen percent voted for ,I am neutral about being encouraged to be innovative.,eight percent voted for ,I am rarely encouraged to be innovative.,five percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty one percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty four percent voted for ,I am sometimes encouraged to be innovative and take initiative.,sixteen percent voted for ,I am neutral about being encouraged to be innovative.,ten percent voted for ,I am rarely encouraged to be innovative.,eight percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,thirty five percent voted for ,I am consistently encouraged to be innovative and take initiative.,thirty four percent voted for ,I am sometimes encouraged to be innovative and take initiative.,fifteen percent voted for ,I am neutral about being encouraged to be innovative.,nine percent voted for ,I am rarely encouraged to be innovative.,five percent voted for ,I am not encouraged to be innovative at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q15,Question 15. I have support at work to provide a high level of service.,thirty nine percent voted for ,I receive strong support to deliver high-quality service.,thirty five percent voted for ,I get adequate support to provide quality service.,twelve percent voted for ,I am unsure about the support I receive for providing good service.,eight percent voted for ,I get limited support to deliver quality service.,five percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q15,Question 15. I have support at work to provide a high level of service.,thirty eight percent voted for ,I receive strong support to deliver high-quality service.,thirty six percent voted for ,I get adequate support to provide quality service.,thirteen percent voted for ,I am unsure about the support I receive for providing good service.,eight percent voted for ,I get limited support to deliver quality service.,four percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Public Service,Q15,Question 15. I have support at work to provide a high level of service.,thirty six percent voted for ,I receive strong support to deliver high-quality service.,thirty nine percent voted for ,I get adequate support to provide quality service.,twelve percent voted for ,I am unsure about the support I receive for providing good service.,eight percent voted for ,I get limited support to deliver quality service.,four percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q15,Question 15. I have support at work to provide a high level of service.,thirty eight percent voted for ,I receive strong support to deliver high-quality service.,forty one percent voted for ,I get adequate support to provide quality service.,eleven percent voted for ,I am unsure about the support I receive for providing good service.,seven percent voted for ,I get limited support to deliver quality service.,two percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q15,Question 15. I have support at work to provide a high level of service.,thirty two percent voted for ,I receive strong support to deliver high-quality service.,thirty nine percent voted for ,I get adequate support to provide quality service.,thirteen percent voted for ,I am unsure about the support I receive for providing good service.,nine percent voted for ,I get limited support to deliver quality service.,five percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q15,Question 15. I have support at work to provide a high level of service.,thirty five percent voted for ,I receive strong support to deliver high-quality service.,forty percent voted for ,I get adequate support to provide quality service.,twelve percent voted for ,I am unsure about the support I receive for providing good service.,eight percent voted for ,I get limited support to deliver quality service.,four percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2018,Public Service,Q15,Question 15. I have support at work to provide a high level of service.,thirty percent voted for ,I receive strong support to deliver high-quality service.,thirty seven percent voted for ,I get adequate support to provide quality service.,fifteen percent voted for ,I am unsure about the support I receive for providing good service.,eleven percent voted for ,I get limited support to deliver quality service.,seven percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q15,Question 15. I have support at work to provide a high level of service.,thirty four percent voted for ,I receive strong support to deliver high-quality service.,thirty six percent voted for ,I get adequate support to provide quality service.,fourteen percent voted for ,I am unsure about the support I receive for providing good service.,ten percent voted for ,I get limited support to deliver quality service.,five percent voted for ,I receive no support for providing quality service.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q16,"Question 16. Overall, I like my job.",forty five percent voted for ,I really enjoy my job.,thirty six percent voted for ,I generally enjoy my job.,ten percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,three percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q16,"Question 16. Overall, I like my job.",forty two percent voted for ,I really enjoy my job.,thirty eight percent voted for ,I generally enjoy my job.,eleven percent voted for ,I feel neutral about liking my job.,six percent voted for ,I do not enjoy my job much.,three percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q16,"Question 16. Overall, I like my job.",forty six percent voted for ,I really enjoy my job.,thirty six percent voted for ,I generally enjoy my job.,ten percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,two percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q16,"Question 16. Overall, I like my job.",forty six percent voted for ,I really enjoy my job.,thirty seven percent voted for ,I generally enjoy my job.,nine percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,two percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q16,"Question 16. Overall, I like my job.",forty three percent voted for ,I really enjoy my job.,thirty eight percent voted for ,I generally enjoy my job.,ten percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,three percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q16,"Question 16. Overall, I like my job.",forty four percent voted for ,I really enjoy my job.,thirty eight percent voted for ,I generally enjoy my job.,ten percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,two percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q16,"Question 16. Overall, I like my job.",forty percent voted for ,I really enjoy my job.,thirty nine percent voted for ,I generally enjoy my job.,eleven percent voted for ,I feel neutral about liking my job.,six percent voted for ,I do not enjoy my job much.,three percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Health Canada,Q16,"Question 16. Overall, I like my job.",forty percent voted for ,I really enjoy my job.,forty one percent voted for ,I generally enjoy my job.,ten percent voted for ,I feel neutral about liking my job.,five percent voted for ,I do not enjoy my job much.,three percent voted for ,I do not like my job at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q17,Question 17. I can complete my assigned workload during my regular working hours.,forty percent voted for ,I always complete my workload within working hours.,thirty one percent voted for ,I often complete my workload within working hours.,fifteen percent voted for ,I sometimes complete my workload within working hours.,seven percent voted for ,I rarely complete my workload within working hours.,five percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Health Canada,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty eight percent voted for ,I always complete my workload within working hours.,thirty two percent voted for ,I often complete my workload within working hours.,sixteen percent voted for ,I sometimes complete my workload within working hours.,eight percent voted for ,I rarely complete my workload within working hours.,six percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Public Service,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty seven percent voted for ,I always complete my workload within working hours.,thirty two percent voted for ,I often complete my workload within working hours.,sixteen percent voted for ,I sometimes complete my workload within working hours.,eight percent voted for ,I rarely complete my workload within working hours.,five percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Health Canada,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty two percent voted for ,I always complete my workload within working hours.,thirty three percent voted for ,I often complete my workload within working hours.,eighteen percent voted for ,I sometimes complete my workload within working hours.,nine percent voted for ,I rarely complete my workload within working hours.,seven percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Public Service,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty nine percent voted for ,I always complete my workload within working hours.,thirty two percent voted for ,I often complete my workload within working hours.,seventeen percent voted for ,I sometimes complete my workload within working hours.,seven percent voted for ,I rarely complete my workload within working hours.,four percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Health Canada,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty eight percent voted for ,I always complete my workload within working hours.,thirty three percent voted for ,I often complete my workload within working hours.,sixteen percent voted for ,I sometimes complete my workload within working hours.,seven percent voted for ,I rarely complete my workload within working hours.,four percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty seven percent voted for ,I always complete my workload within working hours.,thirty two percent voted for ,I often complete my workload within working hours.,seventeen percent voted for ,I sometimes complete my workload within working hours.,eight percent voted for ,I rarely complete my workload within working hours.,five percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2018,Health Canada,Q17,Question 17. I can complete my assigned workload during my regular working hours.,thirty seven percent voted for ,I always complete my workload within working hours.,thirty three percent voted for ,I often complete my workload within working hours.,sixteen percent voted for ,I sometimes complete my workload within working hours.,eight percent voted for ,I rarely complete my workload within working hours.,five percent voted for ,I never complete my workload within working hours.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Public Service,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,ten percent voted for ,Changing priorities always affect my work quality.,twenty two percent voted for ,Changing priorities often affect my work quality.,thirty four percent voted for ,Changing priorities sometimes affect my work quality.,nineteen percent voted for ,Changing priorities rarely affect my work quality.,eleven percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2022,Health Canada,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,ten percent voted for ,Changing priorities always affect my work quality.,twenty two percent voted for ,Changing priorities often affect my work quality.,thirty six percent voted for ,Changing priorities sometimes affect my work quality.,nineteen percent voted for ,Changing priorities rarely affect my work quality.,ten percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2020,Public Service,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,ten percent voted for ,Changing priorities always affect my work quality.,twenty four percent voted for ,Changing priorities often affect my work quality.,thirty five percent voted for ,Changing priorities sometimes affect my work quality.,twenty percent voted for ,Changing priorities rarely affect my work quality.,nine percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Health Canada,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,nine percent voted for ,Changing priorities always affect my work quality.,twenty three percent voted for ,Changing priorities often affect my work quality.,thirty seven percent voted for ,Changing priorities sometimes affect my work quality.,twenty one percent voted for ,Changing priorities rarely affect my work quality.,nine percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Public Service,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,ten percent voted for ,Changing priorities always affect my work quality.,twenty four percent voted for ,Changing priorities often affect my work quality.,thirty five percent voted for ,Changing priorities sometimes affect my work quality.,nineteen percent voted for ,Changing priorities rarely affect my work quality.,nine percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Health Canada,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,nine percent voted for ,Changing priorities always affect my work quality.,twenty three percent voted for ,Changing priorities often affect my work quality.,thirty seven percent voted for ,Changing priorities sometimes affect my work quality.,twenty one percent voted for ,Changing priorities rarely affect my work quality.,nine percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2018,Public Service,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,eleven percent voted for ,Changing priorities always affect my work quality.,twenty six percent voted for ,Changing priorities often affect my work quality.,thirty five percent voted for ,Changing priorities sometimes affect my work quality.,eighteen percent voted for ,Changing priorities rarely affect my work quality.,eight percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2018,Health Canada,Q18a,Question 18a. I feel that the quality of my work suffers because of... constantly changing priorities.,nine percent voted for ,Changing priorities always affect my work quality.,twenty three percent voted for ,Changing priorities often affect my work quality.,thirty six percent voted for ,Changing priorities sometimes affect my work quality.,twenty percent voted for ,Changing priorities rarely affect my work quality.,nine percent voted for ,Changing priorities never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2022,Public Service,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,fourteen percent voted for ,Approval stages always impact my work quality.,twenty two percent voted for ,Approval stages often impact my work quality.,thirty percent voted for ,Approval stages sometimes impact my work quality.,seventeen percent voted for ,Approval stages rarely impact my work quality.,eleven percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,five percent voted for ,This does not apply to me.
2022,Health Canada,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,seventeen percent voted for ,Approval stages always impact my work quality.,twenty three percent voted for ,Approval stages often impact my work quality.,thirty percent voted for ,Approval stages sometimes impact my work quality.,sixteen percent voted for ,Approval stages rarely impact my work quality.,ten percent voted for ,Approval stages never impact my work quality.,one percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2020,Public Service,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,thirteen percent voted for ,Approval stages always impact my work quality.,twenty one percent voted for ,Approval stages often impact my work quality.,thirty one percent voted for ,Approval stages sometimes impact my work quality.,twenty percent voted for ,Approval stages rarely impact my work quality.,eleven percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2020,Health Canada,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,fourteen percent voted for ,Approval stages always impact my work quality.,twenty two percent voted for ,Approval stages often impact my work quality.,thirty three percent voted for ,Approval stages sometimes impact my work quality.,eighteen percent voted for ,Approval stages rarely impact my work quality.,ten percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2019,Public Service,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,sixteen percent voted for ,Approval stages always impact my work quality.,twenty three percent voted for ,Approval stages often impact my work quality.,twenty nine percent voted for ,Approval stages sometimes impact my work quality.,eighteen percent voted for ,Approval stages rarely impact my work quality.,ten percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2019,Health Canada,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,eighteen percent voted for ,Approval stages always impact my work quality.,twenty five percent voted for ,Approval stages often impact my work quality.,twenty nine percent voted for ,Approval stages sometimes impact my work quality.,sixteen percent voted for ,Approval stages rarely impact my work quality.,nine percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2018,Public Service,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,seventeen percent voted for ,Approval stages always impact my work quality.,twenty four percent voted for ,Approval stages often impact my work quality.,twenty nine percent voted for ,Approval stages sometimes impact my work quality.,seventeen percent voted for ,Approval stages rarely impact my work quality.,nine percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2018,Health Canada,Q18b,Question 18b. I feel that the quality of my work suffers because of... too many approval stages.,nineteen percent voted for ,Approval stages always impact my work quality.,twenty five percent voted for ,Approval stages often impact my work quality.,twenty nine percent voted for ,Approval stages sometimes impact my work quality.,fifteen percent voted for ,Approval stages rarely impact my work quality.,eight percent voted for ,Approval stages never impact my work quality.,two percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2022,Public Service,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,seven percent voted for ,Unreasonable deadlines always affect my work quality.,fourteen percent voted for ,Unreasonable deadlines often affect my work quality.,twenty nine percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty seven percent voted for ,Unreasonable deadlines rarely affect my work quality.,eighteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,five percent voted for ,This does not apply to me.
2022,Health Canada,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,ten percent voted for ,Unreasonable deadlines always affect my work quality.,sixteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty two percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty five percent voted for ,Unreasonable deadlines rarely affect my work quality.,fifteen percent voted for ,Unreasonable deadlines never affect my work quality.,zero percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2020,Public Service,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,seven percent voted for ,Unreasonable deadlines always affect my work quality.,fourteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty nine percent voted for ,Unreasonable deadlines rarely affect my work quality.,seventeen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2020,Health Canada,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,nine percent voted for ,Unreasonable deadlines always affect my work quality.,seventeen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty three percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty five percent voted for ,Unreasonable deadlines rarely affect my work quality.,thirteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Public Service,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,seven percent voted for ,Unreasonable deadlines always affect my work quality.,fifteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty one percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty eight percent voted for ,Unreasonable deadlines rarely affect my work quality.,sixteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2019,Health Canada,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,eight percent voted for ,Unreasonable deadlines always affect my work quality.,sixteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty three percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty five percent voted for ,Unreasonable deadlines rarely affect my work quality.,fifteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2018,Public Service,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,eight percent voted for ,Unreasonable deadlines always affect my work quality.,sixteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty two percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty seven percent voted for ,Unreasonable deadlines rarely affect my work quality.,fourteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2018,Health Canada,Q18c,Question 18c. I feel that the quality of my work suffers because of... unreasonable deadlines.,ten percent voted for ,Unreasonable deadlines always affect my work quality.,eighteen percent voted for ,Unreasonable deadlines often affect my work quality.,thirty two percent voted for ,Unreasonable deadlines sometimes affect my work quality.,twenty four percent voted for ,Unreasonable deadlines rarely affect my work quality.,thirteen percent voted for ,Unreasonable deadlines never affect my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2022,Public Service,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",thirteen percent voted for ,Lack of resources always affects my work quality.,nineteen percent voted for ,Lack of resources often affects my work quality.,twenty five percent voted for ,Lack of resources sometimes affects my work quality.,twenty percent voted for ,Lack of resources rarely affects my work quality.,seventeen percent voted for ,Lack of resources never affects my work quality.,two percent voted for this option.,I am unsure.,five percent voted for ,This does not apply to me.
2022,Health Canada,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",fifteen percent voted for ,Lack of resources always affects my work quality.,twenty percent voted for ,Lack of resources often affects my work quality.,twenty six percent voted for ,Lack of resources sometimes affects my work quality.,nineteen percent voted for ,Lack of resources rarely affects my work quality.,fifteen percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,four percent voted for ,This does not apply to me.
2020,Public Service,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",twelve percent voted for ,Lack of resources always affects my work quality.,nineteen percent voted for ,Lack of resources often affects my work quality.,twenty seven percent voted for ,Lack of resources sometimes affects my work quality.,twenty three percent voted for ,Lack of resources rarely affects my work quality.,fifteen percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2020,Health Canada,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",twelve percent voted for ,Lack of resources always affects my work quality.,twenty percent voted for ,Lack of resources often affects my work quality.,twenty nine percent voted for ,Lack of resources sometimes affects my work quality.,twenty three percent voted for ,Lack of resources rarely affects my work quality.,thirteen percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2019,Public Service,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",fourteen percent voted for ,Lack of resources always affects my work quality.,twenty percent voted for ,Lack of resources often affects my work quality.,twenty seven percent voted for ,Lack of resources sometimes affects my work quality.,twenty percent voted for ,Lack of resources rarely affects my work quality.,fourteen percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2019,Health Canada,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",thirteen percent voted for ,Lack of resources always affects my work quality.,twenty one percent voted for ,Lack of resources often affects my work quality.,twenty seven percent voted for ,Lack of resources sometimes affects my work quality.,twenty one percent voted for ,Lack of resources rarely affects my work quality.,fourteen percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
2018,Public Service,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",seventeen percent voted for ,Lack of resources always affects my work quality.,twenty three percent voted for ,Lack of resources often affects my work quality.,twenty seven percent voted for ,Lack of resources sometimes affects my work quality.,eighteen percent voted for ,Lack of resources rarely affects my work quality.,eleven percent voted for ,Lack of resources never affects my work quality.,one percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.
2018,Health Canada,Q18d,"Question 18d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.",fifteen percent voted for ,Lack of resources always affects my work quality.,twenty three percent voted for ,Lack of resources often affects my work quality.,twenty eight percent voted for ,Lack of resources sometimes affects my work quality.,nineteen percent voted for ,Lack of resources rarely affects my work quality.,eleven percent voted for ,Lack of resources never affects my work quality.,two percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.
