SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable,Combined_Text,Cleaned_Text,Polarity_Score,percent_answer1,percent_answer2,percent_answer3,percent_answer4,percent_answer5,Weighted_Score,Weighted_Score_Norm,Hybrid_Score,Hybrid_Sentiment
2018,Health Canada,Q47,Question 47. My department or agency implements activities and practices that support a diverse workforce.,forty four percent voted for ,My department actively promotes workforce diversity.,thirty five percent voted for ,My department somewhat promotes workforce diversity.,twelve percent voted for ,I am unsure about efforts to promote diversity.,three percent voted for ,Diversity practices are limited in my department.,two percent voted for ,There are no diversity practices in my department.,three percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q47 Question 47. My department or agency implements activities and practices that support a diverse workforce. forty four percent voted for  My department actively promotes workforce diversity. thirty five percent voted for  My department somewhat promotes workforce diversity. twelve percent voted for  I am unsure about efforts to promote diversity. three percent voted for  Diversity practices are limited in my department. two percent voted for  There are no diversity practices in my department.,q47 question 47. department agency implement activities practice support diverse workforce forty four percent vote department actively promote workforce diversity thirty five percent vote department somewhat promote workforce diversity twelve percent vote unsure efforts promote diversity three percent vote diversity practice limit department two percent vote diversity practice department,-0.133333333,44,35,12,3,2,116,0.546153846,0.342307692,Positive
2022,Public Service,Q48,Question 48. My department or agency implements initiatives that promote anti-racism in the workplace.,thirty three percent voted for ,Anti-racism initiatives are always implemented.,twenty six percent voted for ,Anti-racism initiatives are often implemented.,nineteen percent voted for ,Anti-racism initiatives are sometimes implemented.,five percent voted for ,Anti-racism initiatives are rarely implemented.,three percent voted for ,Anti-racism initiatives are almost never implemented.,twelve percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.,Q48 Question 48. My department or agency implements initiatives that promote anti-racism in the workplace. thirty three percent voted for  Anti-racism initiatives are always implemented. twenty six percent voted for  Anti-racism initiatives are often implemented. nineteen percent voted for  Anti-racism initiatives are sometimes implemented. five percent voted for  Anti-racism initiatives are rarely implemented. three percent voted for  Anti-racism initiatives are almost never implemented.,q48 question 48. department agency implement initiatives promote anti-racism workplace thirty three percent vote anti-racism initiatives always implement twenty six percent vote anti-racism initiatives often implement nineteen percent vote anti-racism initiatives sometimes implement five percent vote anti-racism initiatives rarely implement three percent vote anti-racism initiatives almost never implement,0.3,33,26,19,5,3,81,0.276923077,0.283846154,Positive
2022,Health Canada,Q48,Question 48. My department or agency implements initiatives that promote anti-racism in the workplace.,thirty two percent voted for ,Anti-racism initiatives are always implemented.,twenty eight percent voted for ,Anti-racism initiatives are often implemented.,twenty percent voted for ,Anti-racism initiatives are sometimes implemented.,five percent voted for ,Anti-racism initiatives are rarely implemented.,two percent voted for ,Anti-racism initiatives are almost never implemented.,twelve percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q48 Question 48. My department or agency implements initiatives that promote anti-racism in the workplace. thirty two percent voted for  Anti-racism initiatives are always implemented. twenty eight percent voted for  Anti-racism initiatives are often implemented. twenty percent voted for  Anti-racism initiatives are sometimes implemented. five percent voted for  Anti-racism initiatives are rarely implemented. two percent voted for  Anti-racism initiatives are almost never implemented.,q48 question 48. department agency implement initiatives promote anti-racism workplace thirty two percent vote anti-racism initiatives always implement twenty eight percent vote anti-racism initiatives often implement twenty percent vote anti-racism initiatives sometimes implement five percent vote anti-racism initiatives rarely implement two percent vote anti-racism initiatives almost never implement,0.3,32,28,20,5,2,83,0.292307692,0.294615385,Positive
2020,Public Service,Q48,Question 48. My department or agency implements initiatives that promote anti-racism in the workplace.,thirty eight percent voted for ,Anti-racism initiatives are always implemented.,thirty two percent voted for ,Anti-racism initiatives are often implemented.,sixteen percent voted for ,Anti-racism initiatives are sometimes implemented.,five percent voted for ,Anti-racism initiatives are rarely implemented.,three percent voted for ,Anti-racism initiatives are almost never implemented.,six percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q48 Question 48. My department or agency implements initiatives that promote anti-racism in the workplace. thirty eight percent voted for  Anti-racism initiatives are always implemented. thirty two percent voted for  Anti-racism initiatives are often implemented. sixteen percent voted for  Anti-racism initiatives are sometimes implemented. five percent voted for  Anti-racism initiatives are rarely implemented. three percent voted for  Anti-racism initiatives are almost never implemented.,q48 question 48. department agency implement initiatives promote anti-racism workplace thirty eight percent vote anti-racism initiatives always implement thirty two percent vote anti-racism initiatives often implement sixteen percent vote anti-racism initiatives sometimes implement five percent vote anti-racism initiatives rarely implement three percent vote anti-racism initiatives almost never implement,0.3,38,32,16,5,3,97,0.4,0.37,Positive
2020,Health Canada,Q48,Question 48. My department or agency implements initiatives that promote anti-racism in the workplace.,thirty seven percent voted for ,Anti-racism initiatives are always implemented.,thirty four percent voted for ,Anti-racism initiatives are often implemented.,fifteen percent voted for ,Anti-racism initiatives are sometimes implemented.,five percent voted for ,Anti-racism initiatives are rarely implemented.,two percent voted for ,Anti-racism initiatives are almost never implemented.,seven percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,Q48 Question 48. My department or agency implements initiatives that promote anti-racism in the workplace. thirty seven percent voted for  Anti-racism initiatives are always implemented. thirty four percent voted for  Anti-racism initiatives are often implemented. fifteen percent voted for  Anti-racism initiatives are sometimes implemented. five percent voted for  Anti-racism initiatives are rarely implemented. two percent voted for  Anti-racism initiatives are almost never implemented.,q48 question 48. department agency implement initiatives promote anti-racism workplace thirty seven percent vote anti-racism initiatives always implement thirty four percent vote anti-racism initiatives often implement fifteen percent vote anti-racism initiatives sometimes implement five percent vote anti-racism initiatives rarely implement two percent vote anti-racism initiatives almost never implement,0.3,37,34,15,5,2,99,0.415384615,0.380769231,Positive
2022,Public Service,Q49,"Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor).",forty two percent voted for ,I feel very comfortable sharing concerns about racism.,thirty percent voted for ,I feel somewhat comfortable sharing concerns about racism.,nine percent voted for ,I am unsure about comfort in sharing racism concerns.,five percent voted for ,I feel uncomfortable sharing concerns about racism.,four percent voted for ,I do not feel comfortable sharing racism concerns.,six percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.,"Q49 Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor). forty two percent voted for  I feel very comfortable sharing concerns about racism. thirty percent voted for  I feel somewhat comfortable sharing concerns about racism. nine percent voted for  I am unsure about comfort in sharing racism concerns. five percent voted for  I feel uncomfortable sharing concerns about racism. four percent voted for  I do not feel comfortable sharing racism concerns.",q49 question 49. would feel comfortable share concern racism workplace person authority e.g. immediate supervisor senior manager ombudsperson human resources advisor forty two percent vote feel comfortable share concern racism thirty percent vote feel somewhat comfortable share concern racism nine percent vote unsure comfort share racism concern five percent vote feel uncomfortable share concern racism four percent vote feel comfortable share racism concern,0.183333333,42,30,9,5,4,101,0.430769231,0.356538462,Positive
2022,Health Canada,Q49,"Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor).",thirty eight percent voted for ,I feel very comfortable sharing concerns about racism.,thirty two percent voted for ,I feel somewhat comfortable sharing concerns about racism.,nine percent voted for ,I am unsure about comfort in sharing racism concerns.,six percent voted for ,I feel uncomfortable sharing concerns about racism.,five percent voted for ,I do not feel comfortable sharing racism concerns.,six percent voted for this option.,I am unsure.,four percent voted for ,This does not apply to me.,"Q49 Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor). thirty eight percent voted for  I feel very comfortable sharing concerns about racism. thirty two percent voted for  I feel somewhat comfortable sharing concerns about racism. nine percent voted for  I am unsure about comfort in sharing racism concerns. six percent voted for  I feel uncomfortable sharing concerns about racism. five percent voted for  I do not feel comfortable sharing racism concerns.",q49 question 49. would feel comfortable share concern racism workplace person authority e.g. immediate supervisor senior manager ombudsperson human resources advisor thirty eight percent vote feel comfortable share concern racism thirty two percent vote feel somewhat comfortable share concern racism nine percent vote unsure comfort share racism concern six percent vote feel uncomfortable share concern racism five percent vote feel comfortable share racism concern,0.183333333,38,32,9,6,5,92,0.361538462,0.308076923,Positive
2020,Public Service,Q49,"Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor).",forty four percent voted for ,I feel very comfortable sharing concerns about racism.,thirty percent voted for ,I feel somewhat comfortable sharing concerns about racism.,eleven percent voted for ,I am unsure about comfort in sharing racism concerns.,five percent voted for ,I feel uncomfortable sharing concerns about racism.,four percent voted for ,I do not feel comfortable sharing racism concerns.,four percent voted for this option.,I am unsure.,two percent voted for ,This does not apply to me.,"Q49 Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor). forty four percent voted for  I feel very comfortable sharing concerns about racism. thirty percent voted for  I feel somewhat comfortable sharing concerns about racism. eleven percent voted for  I am unsure about comfort in sharing racism concerns. five percent voted for  I feel uncomfortable sharing concerns about racism. four percent voted for  I do not feel comfortable sharing racism concerns.",q49 question 49. would feel comfortable share concern racism workplace person authority e.g. immediate supervisor senior manager ombudsperson human resources advisor forty four percent vote feel comfortable share concern racism thirty percent vote feel somewhat comfortable share concern racism eleven percent vote unsure comfort share racism concern five percent vote feel uncomfortable share concern racism four percent vote feel comfortable share racism concern,0.183333333,44,30,11,5,4,105,0.461538462,0.378076923,Positive
2020,Health Canada,Q49,"Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor).",forty two percent voted for ,I feel very comfortable sharing concerns about racism.,thirty one percent voted for ,I feel somewhat comfortable sharing concerns about racism.,eleven percent voted for ,I am unsure about comfort in sharing racism concerns.,five percent voted for ,I feel uncomfortable sharing concerns about racism.,three percent voted for ,I do not feel comfortable sharing racism concerns.,five percent voted for this option.,I am unsure.,three percent voted for ,This does not apply to me.,"Q49 Question 49. I would feel comfortable sharing concerns about racism in the workplace with a person of authority (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor). forty two percent voted for  I feel very comfortable sharing concerns about racism. thirty one percent voted for  I feel somewhat comfortable sharing concerns about racism. eleven percent voted for  I am unsure about comfort in sharing racism concerns. five percent voted for  I feel uncomfortable sharing concerns about racism. three percent voted for  I do not feel comfortable sharing racism concerns.",q49 question 49. would feel comfortable share concern racism workplace person authority e.g. immediate supervisor senior manager ombudsperson human resources advisor forty two percent vote feel comfortable share concern racism thirty one percent vote feel somewhat comfortable share concern racism eleven percent vote unsure comfort share racism concern five percent vote feel uncomfortable share concern racism three percent vote feel comfortable share racism concern,0.183333333,42,31,11,5,3,104,0.453846154,0.372692308,Positive
2022,Public Service,Q50,Question 50. I feel that racism in my department or agency has had an adverse or negative impact on my mental health.,four percent voted for ,Racism has seriously affected my mental health.,six percent voted for ,Racism has somewhat affected my mental health.,twelve percent voted for ,I feel neutral about racism’s impact on my mental health.,seven percent voted for ,Racism has negatively impacted my mental health.,forty percent voted for ,Racism has significantly harmed my mental health.,six percent voted for this option.,I am unsure.,twenty five percent voted for ,This does not apply to me.,Q50 Question 50. I feel that racism in my department or agency has had an adverse or negative impact on my mental health. four percent voted for  Racism has seriously affected my mental health. six percent voted for  Racism has somewhat affected my mental health. twelve percent voted for  I feel neutral about racism’s impact on my mental health. seven percent voted for  Racism has negatively impacted my mental health. forty percent voted for  Racism has significantly harmed my mental health.,q50 question 50. feel racism department agency adverse negative impact mental health four percent vote racism seriously affect mental health six percent vote racism somewhat affect mental health twelve percent vote feel neutral racism⊙s impact mental health seven percent vote racism negatively impact mental health forty percent vote racism significantly harm mental health,-0.115833333,4,6,12,7,40,-73,-0.907692308,-0.670134615,Negative
2022,Health Canada,Q50,Question 50. I feel that racism in my department or agency has had an adverse or negative impact on my mental health.,three percent voted for ,Racism has seriously affected my mental health.,six percent voted for ,Racism has somewhat affected my mental health.,twelve percent voted for ,I feel neutral about racism’s impact on my mental health.,eight percent voted for ,Racism has negatively impacted my mental health.,thirty nine percent voted for ,Racism has significantly harmed my mental health.,seven percent voted for this option.,I am unsure.,twenty six percent voted for ,This does not apply to me.,Q50 Question 50. I feel that racism in my department or agency has had an adverse or negative impact on my mental health. three percent voted for  Racism has seriously affected my mental health. six percent voted for  Racism has somewhat affected my mental health. twelve percent voted for  I feel neutral about racism’s impact on my mental health. eight percent voted for  Racism has negatively impacted my mental health. thirty nine percent voted for  Racism has significantly harmed my mental health.,q50 question 50. feel racism department agency adverse negative impact mental health three percent vote racism seriously affect mental health six percent vote racism somewhat affect mental health twelve percent vote feel neutral racism⊙s impact mental health eight percent vote racism negatively impact mental health thirty nine percent vote racism significantly harm mental health,-0.115833333,3,6,12,8,39,-74,-0.915384615,-0.675519231,Negative
2022,Public Service,Q51,"Question 51. I feel that the Call to Action on Anti-Racism, Equity and Inclusion has had a positive impact in my department or agency, since it launched in January 2021.",twelve percent voted for ,The Call to Action has made a very positive impact.,sixteen percent voted for ,The Call to Action has made a somewhat positive impact.,twenty two percent voted for ,I am unsure of the impact of the Call to Action.,four percent voted for ,The Call to Action has had little positive impact.,four percent voted for ,The Call to Action has had no positive impact.,thirty seven percent voted for this option.,I am unsure.,five percent voted for ,This does not apply to me.,"Q51 Question 51. I feel that the Call to Action on Anti-Racism, Equity and Inclusion has had a positive impact in my department or agency, since it launched in January 2021. twelve percent voted for  The Call to Action has made a very positive impact. sixteen percent voted for  The Call to Action has made a somewhat positive impact. twenty two percent voted for  I am unsure of the impact of the Call to Action. four percent voted for  The Call to Action has had little positive impact. four percent voted for  The Call to Action has had no positive impact.",q51 question 51. feel call action anti-racism equity inclusion positive impact department agency since launch january 2021. twelve percent vote call action make positive impact sixteen percent vote call action make somewhat positive impact twenty two percent vote unsure impact call action four percent vote call action little positive impact four percent vote call action positive impact,0.12907197,12,16,22,4,4,28,-0.130769231,-0.052816871,Neutral
2022,Health Canada,Q51,"Question 51. I feel that the Call to Action on Anti-Racism, Equity and Inclusion has had a positive impact in my department or agency, since it launched in January 2021.",ten percent voted for ,The Call to Action has made a very positive impact.,seventeen percent voted for ,The Call to Action has made a somewhat positive impact.,twenty two percent voted for ,I am unsure of the impact of the Call to Action.,four percent voted for ,The Call to Action has had little positive impact.,three percent voted for ,The Call to Action has had no positive impact.,thirty nine percent voted for this option.,I am unsure.,five percent voted for ,This does not apply to me.,"Q51 Question 51. I feel that the Call to Action on Anti-Racism, Equity and Inclusion has had a positive impact in my department or agency, since it launched in January 2021. ten percent voted for  The Call to Action has made a very positive impact. seventeen percent voted for  The Call to Action has made a somewhat positive impact. twenty two percent voted for  I am unsure of the impact of the Call to Action. four percent voted for  The Call to Action has had little positive impact. three percent voted for  The Call to Action has had no positive impact.",q51 question 51. feel call action anti-racism equity inclusion positive impact department agency since launch january 2021. ten percent vote call action make positive impact seventeen percent vote call action make somewhat positive impact twenty two percent vote unsure impact call action four percent vote call action little positive impact three percent vote call action positive impact,0.119143357,10,17,22,4,3,27,-0.138461538,-0.06118007,Neutral
2022,Public Service,Q52,"Question 52. Overall, my department or agency treats me with respect.",fifty percent voted for ,I am always treated with respect.,thirty three percent voted for ,I am mostly treated with respect.,seven percent voted for ,I feel neutral about how respectfully I am treated.,five percent voted for ,I am not treated respectfully most of the time.,four percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. fifty percent voted for  I am always treated with respect. thirty three percent voted for  I am mostly treated with respect. seven percent voted for  I feel neutral about how respectfully I am treated. five percent voted for  I am not treated respectfully most of the time. four percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect fifty percent vote always treat respect thirty three percent vote mostly treat respect seven percent vote feel neutral respectfully treat five percent vote treat respectfully time four percent vote treat respect,0.375,50,33,7,5,4,120,0.576923077,0.516346154,Positive
2022,Health Canada,Q52,"Question 52. Overall, my department or agency treats me with respect.",forty eight percent voted for ,I am always treated with respect.,thirty five percent voted for ,I am mostly treated with respect.,eight percent voted for ,I feel neutral about how respectfully I am treated.,six percent voted for ,I am not treated respectfully most of the time.,three percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. forty eight percent voted for  I am always treated with respect. thirty five percent voted for  I am mostly treated with respect. eight percent voted for  I feel neutral about how respectfully I am treated. six percent voted for  I am not treated respectfully most of the time. three percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect forty eight percent vote always treat respect thirty five percent vote mostly treat respect eight percent vote feel neutral respectfully treat six percent vote treat respectfully time three percent vote treat respect,0.375,48,35,8,6,3,119,0.569230769,0.510961538,Positive
2020,Public Service,Q52,"Question 52. Overall, my department or agency treats me with respect.",fifty three percent voted for ,I am always treated with respect.,thirty one percent voted for ,I am mostly treated with respect.,eight percent voted for ,I feel neutral about how respectfully I am treated.,four percent voted for ,I am not treated respectfully most of the time.,three percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. fifty three percent voted for  I am always treated with respect. thirty one percent voted for  I am mostly treated with respect. eight percent voted for  I feel neutral about how respectfully I am treated. four percent voted for  I am not treated respectfully most of the time. three percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect fifty three percent vote always treat respect thirty one percent vote mostly treat respect eight percent vote feel neutral respectfully treat four percent vote treat respectfully time three percent vote treat respect,0.375,0,31,8,4,3,21,-0.184615385,-0.016730769,Neutral
2020,Health Canada,Q52,"Question 52. Overall, my department or agency treats me with respect.",fifty five percent voted for ,I am always treated with respect.,thirty two percent voted for ,I am mostly treated with respect.,seven percent voted for ,I feel neutral about how respectfully I am treated.,three percent voted for ,I am not treated respectfully most of the time.,two percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. fifty five percent voted for  I am always treated with respect. thirty two percent voted for  I am mostly treated with respect. seven percent voted for  I feel neutral about how respectfully I am treated. three percent voted for  I am not treated respectfully most of the time. two percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect fifty five percent vote always treat respect thirty two percent vote mostly treat respect seven percent vote feel neutral respectfully treat three percent vote treat respectfully time two percent vote treat respect,0.375,0,32,7,3,2,25,-0.153846154,0.004807692,Neutral
2019,Public Service,Q52,"Question 52. Overall, my department or agency treats me with respect.",forty eight percent voted for ,I am always treated with respect.,thirty four percent voted for ,I am mostly treated with respect.,nine percent voted for ,I feel neutral about how respectfully I am treated.,five percent voted for ,I am not treated respectfully most of the time.,four percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. forty eight percent voted for  I am always treated with respect. thirty four percent voted for  I am mostly treated with respect. nine percent voted for  I feel neutral about how respectfully I am treated. five percent voted for  I am not treated respectfully most of the time. four percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect forty eight percent vote always treat respect thirty four percent vote mostly treat respect nine percent vote feel neutral respectfully treat five percent vote treat respectfully time four percent vote treat respect,0.375,48,34,9,5,4,117,0.553846154,0.500192308,Positive
2019,Health Canada,Q52,"Question 52. Overall, my department or agency treats me with respect.",fifty two percent voted for ,I am always treated with respect.,thirty three percent voted for ,I am mostly treated with respect.,nine percent voted for ,I feel neutral about how respectfully I am treated.,four percent voted for ,I am not treated respectfully most of the time.,two percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. fifty two percent voted for  I am always treated with respect. thirty three percent voted for  I am mostly treated with respect. nine percent voted for  I feel neutral about how respectfully I am treated. four percent voted for  I am not treated respectfully most of the time. two percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect fifty two percent vote always treat respect thirty three percent vote mostly treat respect nine percent vote feel neutral respectfully treat four percent vote treat respectfully time two percent vote treat respect,0.375,0,33,9,4,2,25,-0.153846154,0.004807692,Neutral
2018,Public Service,Q52,"Question 52. Overall, my department or agency treats me with respect.",forty four percent voted for ,I am always treated with respect.,thirty six percent voted for ,I am mostly treated with respect.,ten percent voted for ,I feel neutral about how respectfully I am treated.,five percent voted for ,I am not treated respectfully most of the time.,four percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. forty four percent voted for  I am always treated with respect. thirty six percent voted for  I am mostly treated with respect. ten percent voted for  I feel neutral about how respectfully I am treated. five percent voted for  I am not treated respectfully most of the time. four percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect forty four percent vote always treat respect thirty six percent vote mostly treat respect ten percent vote feel neutral respectfully treat five percent vote treat respectfully time four percent vote treat respect,0.3,44,36,10,5,4,111,0.507692308,0.445384615,Positive
2018,Health Canada,Q52,"Question 52. Overall, my department or agency treats me with respect.",fifty percent voted for ,I am always treated with respect.,thirty five percent voted for ,I am mostly treated with respect.,eight percent voted for ,I feel neutral about how respectfully I am treated.,four percent voted for ,I am not treated respectfully most of the time.,three percent voted for ,I am not treated with respect at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q52 Question 52. Overall, my department or agency treats me with respect. fifty percent voted for  I am always treated with respect. thirty five percent voted for  I am mostly treated with respect. eight percent voted for  I feel neutral about how respectfully I am treated. four percent voted for  I am not treated respectfully most of the time. three percent voted for  I am not treated with respect at all.",q52 question 52. overall department agency treat respect fifty percent vote always treat respect thirty five percent vote mostly treat respect eight percent vote feel neutral respectfully treat four percent vote treat respectfully time three percent vote treat respect,0.375,50,35,8,4,3,125,0.615384615,0.543269231,Positive
2022,Public Service,Q53,Question 53. I would recommend my department or agency as a great place to work.,forty two percent voted for ,I would strongly recommend this as a great workplace.,thirty one percent voted for ,I would probably recommend this as a great workplace.,twelve percent voted for ,I feel neutral about recommending this workplace.,eight percent voted for ,I would not likely recommend this workplace.,six percent voted for ,I would not recommend this workplace at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. forty two percent voted for  I would strongly recommend this as a great workplace. thirty one percent voted for  I would probably recommend this as a great workplace. twelve percent voted for  I feel neutral about recommending this workplace. eight percent voted for  I would not likely recommend this workplace. six percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work forty two percent vote would strongly recommend great workplace thirty one percent vote would probably recommend great workplace twelve percent vote feel neutral recommend workplace eight percent vote would likely recommend workplace six percent vote would recommend workplace,0.566666667,42,31,12,8,6,95,0.384615385,0.439230769,Positive
2022,Health Canada,Q53,Question 53. I would recommend my department or agency as a great place to work.,thirty nine percent voted for ,I would strongly recommend this as a great workplace.,thirty three percent voted for ,I would probably recommend this as a great workplace.,thirteen percent voted for ,I feel neutral about recommending this workplace.,eight percent voted for ,I would not likely recommend this workplace.,six percent voted for ,I would not recommend this workplace at all.,one percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. thirty nine percent voted for  I would strongly recommend this as a great workplace. thirty three percent voted for  I would probably recommend this as a great workplace. thirteen percent voted for  I feel neutral about recommending this workplace. eight percent voted for  I would not likely recommend this workplace. six percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work thirty nine percent vote would strongly recommend great workplace thirty three percent vote would probably recommend great workplace thirteen percent vote feel neutral recommend workplace eight percent vote would likely recommend workplace six percent vote would recommend workplace,0.566666667,39,33,13,8,6,91,0.353846154,0.417692308,Positive
2020,Public Service,Q53,Question 53. I would recommend my department or agency as a great place to work.,forty four percent voted for ,I would strongly recommend this as a great workplace.,thirty one percent voted for ,I would probably recommend this as a great workplace.,thirteen percent voted for ,I feel neutral about recommending this workplace.,seven percent voted for ,I would not likely recommend this workplace.,five percent voted for ,I would not recommend this workplace at all.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. forty four percent voted for  I would strongly recommend this as a great workplace. thirty one percent voted for  I would probably recommend this as a great workplace. thirteen percent voted for  I feel neutral about recommending this workplace. seven percent voted for  I would not likely recommend this workplace. five percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work forty four percent vote would strongly recommend great workplace thirty one percent vote would probably recommend great workplace thirteen percent vote feel neutral recommend workplace seven percent vote would likely recommend workplace five percent vote would recommend workplace,0.566666667,44,31,13,7,5,102,0.438461538,0.476923077,Positive
2020,Health Canada,Q53,Question 53. I would recommend my department or agency as a great place to work.,forty seven percent voted for ,I would strongly recommend this as a great workplace.,thirty two percent voted for ,I would probably recommend this as a great workplace.,twelve percent voted for ,I feel neutral about recommending this workplace.,five percent voted for ,I would not likely recommend this workplace.,three percent voted for ,I would not recommend this workplace at all.,one percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. forty seven percent voted for  I would strongly recommend this as a great workplace. thirty two percent voted for  I would probably recommend this as a great workplace. twelve percent voted for  I feel neutral about recommending this workplace. five percent voted for  I would not likely recommend this workplace. three percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work forty seven percent vote would strongly recommend great workplace thirty two percent vote would probably recommend great workplace twelve percent vote feel neutral recommend workplace five percent vote would likely recommend workplace three percent vote would recommend workplace,0.566666667,47,32,12,5,3,115,0.538461538,0.546923077,Positive
2019,Public Service,Q53,Question 53. I would recommend my department or agency as a great place to work.,thirty nine percent voted for ,I would strongly recommend this as a great workplace.,thirty one percent voted for ,I would probably recommend this as a great workplace.,fifteen percent voted for ,I feel neutral about recommending this workplace.,eight percent voted for ,I would not likely recommend this workplace.,six percent voted for ,I would not recommend this workplace at all.,one percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. thirty nine percent voted for  I would strongly recommend this as a great workplace. thirty one percent voted for  I would probably recommend this as a great workplace. fifteen percent voted for  I feel neutral about recommending this workplace. eight percent voted for  I would not likely recommend this workplace. six percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work thirty nine percent vote would strongly recommend great workplace thirty one percent vote would probably recommend great workplace fifteen percent vote feel neutral recommend workplace eight percent vote would likely recommend workplace six percent vote would recommend workplace,0.566666667,39,31,15,8,6,89,0.338461538,0.406923077,Positive
2019,Health Canada,Q53,Question 53. I would recommend my department or agency as a great place to work.,forty two percent voted for ,I would strongly recommend this as a great workplace.,thirty three percent voted for ,I would probably recommend this as a great workplace.,fifteen percent voted for ,I feel neutral about recommending this workplace.,six percent voted for ,I would not likely recommend this workplace.,four percent voted for ,I would not recommend this workplace at all.,one percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,Q53 Question 53. I would recommend my department or agency as a great place to work. forty two percent voted for  I would strongly recommend this as a great workplace. thirty three percent voted for  I would probably recommend this as a great workplace. fifteen percent voted for  I feel neutral about recommending this workplace. six percent voted for  I would not likely recommend this workplace. four percent voted for  I would not recommend this workplace at all.,q53 question 53. would recommend department agency great place work forty two percent vote would strongly recommend great workplace thirty three percent vote would probably recommend great workplace fifteen percent vote feel neutral recommend workplace six percent vote would likely recommend workplace four percent vote would recommend workplace,0.566666667,42,33,15,6,4,103,0.446153846,0.482307692,Positive
